img_path,quality,img_name,label,PRIMARY,SECONDARY,TERTIARY,QUATERNARY,LOGO,LOGO_ACCENT
aaf64f48-faf7-4ce5-9997-70435d6ff95c,1,DX1787-100,,"{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '40W', 'color_name': 'PHOTO BLUE', 'color_family': 'BLUE-PURPLE', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}","{'color_code': '76I', 'color_name': 'UNIVERSITY GOLD', 'color_family': 'ORANGE', 'ligthness': 'HIGH', 'chroma': 'VIVID', 'nine_color_group': 7}","{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '6CD', 'color_name': 'BRIGHT CRIMSON', 'color_family': 'PINK', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}",None
d404f19f-7ba7-4df9-b3ee-c1522cb49646,1,DQ0360-100,,"{'color_code': '12J', 'color_name': 'SUMMIT WHITE', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '11M', 'color_name': 'COCONUT MILK', 'color_family': 'YELLOW', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '6JB', 'color_name': 'PINK FOAM', 'color_family': 'PINK', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None,"{'color_code': '3AG', 'color_name': 'HONEYDEW', 'color_family': 'YELLOW-GREEN', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None
40888aa6-bb31-4d2d-9267-851845053c32,1,DC9651-100,,,,,,,
62d31e21-0d2e-41c9-967d-7c496c45b54e,1,CW1574-100,,,,,,,
b0ec0ee3-8c70-486e-b9b0-ed6cda1a749d,1,DQ6048-100,,,,,,,
fbb16481-5086-4ccd-94d3-e28998f55173,1,CW1574-101,,"{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None,None,"{'color_code': '6CD', 'color_name': 'BRIGHT CRIMSON', 'color_family': 'PINK', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}",None
c9674733-8ce4-40ac-88c6-e72045484b0b,1,DV1680-100,,,,,,,
f1e0a52f-af48-4ce7-a841-fb5b6d9fab92,1,DH9595-001,,"{'color_code': '0AV', 'color_name': 'OFF NOIR', 'color_family': 'GREY', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '12J', 'color_name': 'SUMMIT WHITE', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '6HU', 'color_name': 'PINK PRIME', 'color_family': 'PURPLE-RED', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}",97J,"{'color_code': '01M', 'color_name': 'MTLC PEWTER', 'color_family': 'GREY', 'ligthness': 'MEDIUM', 'chroma': 'NEUTRAL', 'nine_color_group': 2}","{'color_code': '91P', 'color_name': 'MTLC RED BRONZE', 'color_family': 'ORANGE', 'ligthness': 'MEDIUM', 'chroma': 'NEUTRAL', 'nine_color_group': 2}"
0ba2066e-6dbc-497f-a115-8ffc60bc8928,1,DM0985-100,,"{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '4AH', 'color_name': 'AURA', 'color_family': 'BLUE-PURPLE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None,None,"{'color_code': '88U', 'color_name': 'LT MADDER ROOT', 'color_family': 'ORANGE', 'ligthness': 'HIGH', 'chroma': 'TRUE', 'nine_color_group': 4}",None
a6c8d852-ab8a-4509-bf1b-5edf6cd8dbeb,1,DX3933-100,,,,,,,
fd25a1d9-6bd2-43fd-9e10-25512e2c8b5d,1,DB4542-100,,"{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '67J', 'color_name': 'CHILE RED', 'color_family': 'RED', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}","{'color_code': '90U', 'color_name': 'GUM LIGHT BROWN', 'color_family': 'YELLOW', 'ligthness': 'HIGH', 'chroma': 'TRUE', 'nine_color_group': 4}",None,"{'color_code': '68W', 'color_name': 'PINK GLAZE', 'color_family': 'PINK', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '45B', 'color_name': 'OBSIDIAN', 'color_family': 'BLUE-PURPLE', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}"
ea34c179-4d63-4cd4-be40-b2fd762b3c07,1,DM9476-700,,,,,,,
