img_path,quality,img_name,label,PRIMARY,SECONDARY,TERTIARY,QUATERNARY,LOGO,LOGO_ACCENT
82674512-4bd4-4c8d-90a0-c33956ab61ae,1,DJ7381-600,,"{'color_code': '6DQ', 'color_name': 'SIREN RED', 'color_family': 'RED', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}","{'color_code': '71R', 'color_name': 'VOLT', 'color_family': 'YELLOW-GREEN', 'ligthness': 'HIGH', 'chroma': 'VIVID', 'nine_color_group': 7}","{'color_code': '0AH', 'color_name': 'DK SMOKE GREY', 'color_family': 'GREY', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '01X', 'color_name': 'PHANTOM', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None
cfe2ce2c-0469-423d-9374-bb0bf93b376c,1,DR1970-300,,,,,,,
cf42fe30-7c78-45b5-87bb-8ed11429faec,1,CK4305-700,,,,,,,
cf42fe30-7c78-45b5-87bb-8ed11429faec,1,CK4305-700,,,,,,,
cf42fe30-7c78-45b5-87bb-8ed11429faec,1,CK4305-700,,,,,,,
cf42fe30-7c78-45b5-87bb-8ed11429faec,1,CK4305-700,,,,,,,
cb6824bc-4cc1-439f-b39e-2fd2a8c8b104,1,DJ0810-001,,,,,,,
d8e4e10c-1eec-4bd1-894c-ee502a2aa621,1,DA8697-400,,,,,,,
f1a0d3da-12b9-4476-9e09-00426f98cda8,1,DO6728-200,,"{'color_code': '20K', 'color_name': 'DARK CHOCOLATE', 'color_family': 'GREY', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '6CD', 'color_name': 'BRIGHT CRIMSON', 'color_family': 'PINK', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}",None,None,"{'color_code': '71R', 'color_name': 'VOLT', 'color_family': 'YELLOW-GREEN', 'ligthness': 'HIGH', 'chroma': 'VIVID', 'nine_color_group': 7}",None
b0a38997-ada3-4cdc-94d0-9dcdbf6f8d4a,1,CU2016-001,,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '04W', 'color_name': 'MTLC DARK GREY', 'color_family': 'GREY', 'ligthness': 'MEDIUM', 'chroma': 'NEUTRAL', 'nine_color_group': 2}",None,None,"{'color_code': '0AI', 'color_name': 'IRON GREY', 'color_family': 'GREY', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None
f61ecd75-1cb3-446a-a947-548380d01830,1,DJ0827-001,,,,,,,
a5895d70-729a-47ef-b683-99f0ca5ea39e,1,CW7356-006,,,,,,,
f49ce040-2c57-49af-8dba-bada4836e313,1,DR2063-400,,"{'color_code': '4AI', 'color_name': 'COAST', 'color_family': 'BLUE-PURPLE', 'ligthness': 'MEDIUM', 'chroma': 'TRUE', 'nine_color_group': 5}","{'color_code': '4AI', 'color_name': 'COAST', 'color_family': 'BLUE-PURPLE', 'ligthness': 'MEDIUM', 'chroma': 'TRUE', 'nine_color_group': 5}","{'color_code': '41S', 'color_name': 'COLLEGE NAVY', 'color_family': 'BLUE-PURPLE', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None,"{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None
127d7980-7961-432f-b2a5-c55e6125a1f5,1,CW7356-004,,"{'color_code': '04Z', 'color_name': 'PURE PLATINUM', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '01V', 'color_name': 'WOLF GREY', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '0AI', 'color_name': 'IRON GREY', 'color_family': 'GREY', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '43G', 'color_name': 'GLACIER BLUE', 'color_family': 'BLUE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '67J', 'color_name': 'CHILE RED', 'color_family': 'RED', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}",None
504223f6-6888-40b0-b8bd-27bf1809bdfc,1,DJ7382-600,,"{'color_code': '6DQ', 'color_name': 'SIREN RED', 'color_family': 'RED', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}","{'color_code': '71R', 'color_name': 'VOLT', 'color_family': 'YELLOW-GREEN', 'ligthness': 'HIGH', 'chroma': 'VIVID', 'nine_color_group': 7}","{'color_code': '0AH', 'color_name': 'DK SMOKE GREY', 'color_family': 'GREY', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '01X', 'color_name': 'PHANTOM', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None
3add7abe-0929-45fb-a5ca-d5a907e230e2,1,DA8697-003,,"{'color_code': '06L', 'color_name': 'GHOST', 'color_family': 'BLUE-PURPLE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '4KY', 'color_name': 'THUNDER BLUE', 'color_family': 'BLUE-PURPLE', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '0AK', 'color_name': 'PARTICLE GREY', 'color_family': 'GREY', 'ligthness': 'MEDIUM', 'chroma': 'NEUTRAL', 'nine_color_group': 2}",None,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None
3e169e28-e5f3-4361-aeb7-00fe3da78f96,1,DR1968-500,,,,,,,
bhslr289scoa6cfrwedt,1,AQ2203-401,,"{'color_code': '4PA', 'color_name': 'BLUE VOID', 'color_family': 'BLUE-PURPLE', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '4MD', 'color_name': 'COASTAL BLUE', 'color_family': 'BLUE-PURPLE', 'ligthness': 'LOW', 'chroma': 'TRUE', 'nine_color_group': 6}","{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '0AP', 'color_name': 'PLATINUM TINT', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '01B', 'color_name': 'METALLIC SILVER', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None
89aceaf5-781d-4038-b66b-74b5bd2a6292,1,DR2037-001,,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '6DL', 'color_name': 'GYM RED', 'color_family': 'RED', 'ligthness': 'LOW', 'chroma': 'TRUE', 'nine_color_group': 6}",None,"{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None
f63e0b43-67c9-41c5-8cc3-7b61e677684e,1,DR1967-400,,,,,,,
5504e8de-5ea7-4118-90c2-39ee24d52158,1,DH4071-008,,,,,,,
bd59b747-7bd2-4940-b632-24fc827c77eb,1,DO7625-002,,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '0AH', 'color_name': 'DK SMOKE GREY', 'color_family': 'GREY', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '71R', 'color_name': 'VOLT', 'color_family': 'YELLOW-GREEN', 'ligthness': 'HIGH', 'chroma': 'VIVID', 'nine_color_group': 7}","{'color_code': '0AN', 'color_name': 'GREY FOG', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '01B', 'color_name': 'METALLIC SILVER', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}"
74fb6cfe-f52c-4623-9e1f-6fa97971ca24,1,DZ4850-300,,,,,,,
