img_path,quality,img_name,label,PRIMARY,SECONDARY,TERTIARY,QUATERNARY,LOGO,LOGO_ACCENT
5a125ec8-1a6c-40d9-9e47-8087a827ab7e,1,DC4112-100,,,,,,,
6256c044-6894-40eb-b68b-ea35af882750,1,DX2746-400,,,,,,,
850de4d5-72e8-4d9a-abca-036db4bdf791,1,DM8337-600,,"{'color_code': '6GL', 'color_name': 'SUNSET PULSE', 'color_family': 'PINK', 'ligthness': 'HIGH', 'chroma': 'VIVID', 'nine_color_group': 7}","{'color_code': '3LH', 'color_name': 'GHOST GREEN', 'color_family': 'YELLOW-GREEN', 'ligthness': 'HIGH', 'chroma': 'TRUE', 'nine_color_group': 4}",None,None,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None
64f9a02b-07d8-45ab-89b4-0c352116c197,1,DJ9975-600,,"{'color_code': '66T', 'color_name': 'PINK OXFORD', 'color_family': 'PINK', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '6LA', 'color_name': 'ROSE WHISPER', 'color_family': 'PINK', 'ligthness': 'MEDIUM', 'chroma': 'NEUTRAL', 'nine_color_group': 2}","{'color_code': '01B', 'color_name': 'METALLIC SILVER', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None,"{'color_code': '66T', 'color_name': 'PINK OXFORD', 'color_family': 'PINK', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None
c3860f78-2c1a-4ce9-bb6c-77fdbd452f69,1,DH1063-001,,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '06F', 'color_name': 'ANTHRACITE', 'color_family': 'GREY', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None,None,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None
ebc76a3c-ab45-4b5e-a7e6-f401f279d2e9,1,CJ6741-100,,,,,,,
1c18b9f0-6548-41fe-9979-3278aca87a2e,1,DH4088-002,,"{'color_code': '0BB', 'color_name': 'PHOTON DUST', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '80A', 'color_name': 'BRIGHT MANGO', 'color_family': 'PINK', 'ligthness': 'HIGH', 'chroma': 'VIVID', 'nine_color_group': 7}","{'color_code': '71R', 'color_name': 'VOLT', 'color_family': 'YELLOW-GREEN', 'ligthness': 'HIGH', 'chroma': 'VIVID', 'nine_color_group': 7}","{'color_code': '4PG', 'color_name': 'GHOST AQUA', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '6CV', 'color_name': 'HYPER PINK', 'color_family': 'PINK', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}","{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}"
f729b9ff-6f4d-4271-aed9-f7600a025c5f,1,DH4090-002,,,,,,,
d1ae58df-312f-4555-a627-7f78043fd067,1,DQ7651-300,,,,,,,
cc64e726-4ddb-4d57-bf0d-9b1e8dadd321,1,DC4112-002,,,,,,,
32c50589-230d-454a-b08a-b2942a80f14f,1,DX3369-600,,,,,,,
49959b42-9e2c-4596-bba4-fa27c6e6a45d,1,DX2355-001,,,,,,,
3effd46b-679b-46f8-8ca1-76be27be68ed,1,DC9454-101,,"{'color_code': '12A', 'color_name': 'OATMEAL', 'color_family': 'YELLOW', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '01X', 'color_name': 'PHANTOM', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '01B', 'color_name': 'METALLIC SILVER', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None,"{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None
7a9a2c4e-7887-4e7c-8a1f-23b270b2d3ec,1,DC4112-800,,,,,,,
4e766747-8f3e-48ac-b7c1-da803c0c2283,1,DH4090-001,,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '29I', 'color_name': 'PRALINE', 'color_family': 'ORANGE', 'ligthness': 'MEDIUM', 'chroma': 'TRUE', 'nine_color_group': 5}","{'color_code': '27K', 'color_name': 'LT BRITISH TAN', 'color_family': 'BROWN', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '01B', 'color_name': 'METALLIC SILVER', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '6HE', 'color_name': 'HABANERO RED', 'color_family': 'RED', 'ligthness': 'MEDIUM', 'chroma': 'VIVID', 'nine_color_group': 8}",None
a2113d4a-7f4a-4be2-aa43-d03ea3698fcf,1,DC9454-500,,,,,,,
552f82b8-0b1a-4e88-b68f-9e5bb3f0ab03,1,DH4088-003,,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}","{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '01B', 'color_name': 'METALLIC SILVER', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None,"{'color_code': '00A', 'color_name': 'BLACK', 'color_family': 'BLACK', 'ligthness': 'LOW', 'chroma': 'NEUTRAL', 'nine_color_group': 3}",None
zwdaout4vihohkt7acao,1,AJ6910-001,,,,,,,
40ac6555-3115-49c7-83aa-8498eeec5880,1,CT1933-002,,,,,,,
d531017c-7296-4347-bb8e-41e1d92619b5,1,DH4088-001,,"{'color_code': '07G', 'color_name': 'LIGHT BONE', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '01X', 'color_name': 'PHANTOM', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '01B', 'color_name': 'METALLIC SILVER', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None,"{'color_code': '10A', 'color_name': 'WHITE', 'color_family': 'WHITE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}",None
af0bd74d-863f-4ddd-b9b5-b80cfc0bd405,1,DH4088-300,,"{'color_code': '3HJ', 'color_name': 'LIGHT DEW', 'color_family': 'GREEN-BLUE', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '6GZ', 'color_name': 'ARTIC PUNCH', 'color_family': 'PINK', 'ligthness': 'HIGH', 'chroma': 'TRUE', 'nine_color_group': 4}","{'color_code': '3JJ', 'color_name': 'BARELY GREEN', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '01B', 'color_name': 'METALLIC SILVER', 'color_family': 'GREY', 'ligthness': 'HIGH', 'chroma': 'NEUTRAL', 'nine_color_group': 1}","{'color_code': '84L', 'color_name': 'MELON TINT', 'color_family': 'ORANGE', 'ligthness': 'HIGH', 'chroma': 'TRUE', 'nine_color_group': 4}",None
